,kunag,matnr,quantity,dt_week
0,500057582,152222,4.0,2017-08-31
1,500057582,152222,2.0,2017-09-07
2,500057582,152222,3.0,2017-09-14
3,500057582,152222,4.0,2017-09-21
4,500057582,152222,0.0,2017-09-28
5,500057582,152222,6.0,2017-10-05
6,500057582,152222,2.0,2017-10-12
7,500057582,152222,1.0,2017-10-19
8,500057582,152222,4.0,2017-10-26
9,500057582,152222,3.0,2017-11-02
10,500057582,152222,0.0,2017-11-09
11,500057582,152222,0.0,2017-11-16
12,500057582,152222,0.0,2017-11-23
13,500057582,152222,3.0,2017-11-30
14,500057582,152222,0.0,2017-12-07
15,500057582,152222,0.0,2017-12-14
16,500057582,152222,0.0,2017-12-21
17,500057582,152222,0.0,2017-12-28
18,500057582,152222,3.0,2018-01-04
19,500057582,152222,1.0,2018-01-11
20,500057582,152222,2.0,2018-01-18
21,500057582,152222,6.0,2018-01-25
22,500057582,152222,0.0,2018-02-01
23,500057582,152222,8.0,2018-02-08
24,500057582,152222,2.0,2018-02-15
25,500057582,152222,0.0,2018-02-22
26,500057582,152222,2.0,2018-03-01
27,500057582,152222,5.0,2018-03-08
28,500057582,152222,2.0,2018-03-15
29,500057582,152222,2.0,2018-03-22
30,500057582,152222,2.0,2018-03-29
31,500057582,152222,2.0,2018-04-05
32,500057582,152222,2.0,2018-04-12
33,500057582,152222,2.0,2018-04-19
34,500057582,152222,3.0,2018-04-26
35,500057582,152222,4.0,2018-05-03
36,500057582,152222,2.0,2018-05-10
37,500057582,152222,3.0,2018-05-17
38,500057582,152222,3.0,2018-05-24
39,500057582,152222,6.0,2018-05-31
40,500057582,152222,3.0,2018-06-07
41,500057582,152222,0.0,2018-06-14
42,500057582,152222,9.0,2018-06-21
43,500057582,152222,0.0,2018-06-28
44,500057582,152222,3.0,2018-07-05
45,500057582,152222,7.0,2018-07-12
46,500057582,152222,3.0,2018-07-19
47,500057582,152222,2.0,2018-07-26
48,500057582,152222,3.0,2018-08-02
49,500057582,152222,4.0,2018-08-09
50,500057582,152222,5.0,2018-08-16
51,500057582,152222,3.0,2018-08-23
52,500057582,152222,3.0,2018-08-30
53,500057582,152222,5.0,2018-09-06
54,500057582,152222,3.0,2018-09-13
55,500057582,152222,2.0,2018-09-20
56,500057582,152222,3.0,2018-09-27
57,500057582,152222,8.0,2018-10-04
58,500057582,152222,3.0,2018-10-11
59,500057582,152222,8.0,2018-10-18
60,500057582,152222,0.0,2018-10-25
61,500057582,152222,10.0,2018-11-01
62,500057582,152222,4.0,2018-11-08
63,500057582,152222,3.0,2018-11-15
64,500057582,152222,0.0,2018-11-22
65,500057582,152222,0.0,2018-11-29
66,500057582,152222,4.0,2018-12-06
